LOGINID,OUTLETCODE,TOTAL_ORDERS,ORDERS_AND_(SALES_OR_RECOMMENDATION),TRENDING_IN_ORDERS,TRENDING_IN_RECOMMENDATIONS,TOTAL_RECOMMENDATIONS,MATCHED_TRENDING_RECOMMENDATIONS,PRINCE_RATIO,VANSHIKA_RATIO,HARSH_RATIO
DSR-GT-WUP-667,DS021328,7,3,0,4,5,0,0.0,0.0,1.0,
DSR-GT-MUM-683,PH108449,3,2,1,5,5,1,100.0,50.0,1.0,
DSR-HYD-002,PH075090,2,2,1,3,5,1,100.0,50.0,0.0,
DSR-ROM-412,PH076074,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-CMN-KER-620,PH055790,10,6,2,5,5,2,100.0,33.33333333333333,1.0,
DSR-GT-ROM-704,PH041835,10,1,1,4,5,1,100.0,100.0,1.0,
DSR-SPT-E/UP-613,PS013728,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GUJ-120,PH123972,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-TNUC-312,PH111855,2,2,2,4,5,2,100.0,100.0,1.0,
FSA-CMN-ROE-098,PH031009,2,2,0,2,7,0,0.0,0.0,0.0,
DSR-NE-197,MGS003922,10,4,0,5,15,0,0.0,0.0,0.0,
DSR-GT-MUM-656,PH002858,4,3,2,5,8,2,100.0,66.66666666666666,1.0,
DSR-ROM-216,PH104615,5,5,2,2,5,2,100.0,40.0,1.0,
DSR-CMN-KER-588,DS023134,2,2,2,3,3,2,100.0,100.0,1.0,
DSR-TNUC-312,PH026938,1,1,1,4,7,1,100.0,100.0,1.0,
DSR-NE-275,PH128597,3,3,1,1,5,1,100.0,33.33333333333333,1.0,
DSR-GT-PUNJ-726,WP002830,6,2,0,2,5,0,0.0,0.0,0.0,
DSR-ROM-350,PS010409,5,5,0,1,5,0,0.0,0.0,0.0,
DSR-UP-344,PH125967,1,1,1,1,4,1,100.0,100.0,1.0,
DSR-E/UP-158,PS008746,52,10,3,4,7,2,66.66666666666666,30.0,0.0,
DSR-PUNJ-389,PH079894,1,1,1,1,10,0,0.0,100.0,1.0,
DSR-KER-343,DS011520,8,7,0,3,7,0,0.0,0.0,0.0,
DSR-CMN-KNUC-473,DS016423,5,5,3,5,13,3,100.0,60.0,1.0,
DSR-PUNJ-190,PH096676,3,3,3,3,5,3,100.0,100.0,1.0,
DSR-ROE-439,TG021360,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-BGLR-084,PH024790,2,2,1,4,9,1,100.0,50.0,1.0,
DSR-GT-NCR-508,DS021310,9,8,2,4,12,2,100.0,25.0,1.0,
DSR-TNUC-312,PH026940,6,6,2,4,5,2,100.0,33.33333333333333,0.0,
DSR-ROE-299,PS004569,2,2,1,4,7,1,100.0,50.0,1.0,
DSR-CMN-KER-637,PH056378,9,6,3,4,5,2,66.66666666666666,50.0,0.0,
DSR-APUC-009,PH027377,4,4,2,4,5,2,100.0,50.0,1.0,
DSR-GT-ROM-704,PH056850,7,2,0,3,5,0,0.0,0.0,0.0,
DSR-CMN-ROM-799,PH092299,6,4,1,3,9,0,0.0,25.0,0.0,
DSR-KNUC-430,PH103074,3,3,0,1,10,0,0.0,0.0,1.0,
DSR-GT-MUM-683,PH128949,4,2,0,0,3,0,0.0,0.0,1.0,
DSR-NE-275,CL003278,7,4,3,2,5,2,66.66666666666666,75.0,1.0,
DSR-NE-275,PH117452,2,2,0,2,5,0,0.0,0.0,0.0,
FSA-SPT-MUM-060,PS010940,11,6,2,4,11,2,100.0,33.33333333333333,1.0,
DSR-GT-MUM-656,PH002856,1,1,0,5,5,0,0.0,0.0,1.0,
DSR-HAR-185,DS016687,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-GUJ-151,PH130000,3,3,1,1,4,1,100.0,33.33333333333333,1.0,
DSR-CMN-EUP-668,PH066681,1,1,1,1,5,0,0.0,100.0,1.0,
FSA-SPT-MUM-105,CL000235,3,2,2,4,5,2,100.0,100.0,1.0,
DSR-RAJ-165,PH113767,2,1,0,3,5,0,0.0,0.0,0.0,
DSR-GOA-153,TG019149,1,1,0,1,4,0,0.0,0.0,0.0,
DSR-GT-GOA-566,TG018715,4,3,0,3,5,0,0.0,0.0,1.0,
DSR-CMN-ROE-758,PH079254,3,2,0,3,5,0,0.0,0.0,0.0,
DSR-BGLR-085,DS007687,35,11,2,5,25,2,100.0,18.181818181818183,1.0,
DSR-CMN-HP-787,PH087188,2,2,0,1,10,0,0.0,0.0,1.0,
DSR-CMN-HAR-634,PH101540,3,2,1,5,5,1,100.0,50.0,1.0,
DSR-APUC-218,DS022686,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-GUJ-151,PH004534,2,1,1,5,5,1,100.0,100.0,1.0,
DSR-NCR-032,MGS005681,23,8,1,2,15,1,100.0,12.5,0.0,
DSR-NCR-032,PH041130,6,6,4,5,5,4,100.0,66.66666666666666,1.0,
DSR-CMN-ROE-758,PH116357,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-PUNE-141,PH130995,3,2,2,4,5,2,100.0,100.0,1.0,
DSR-MUM-130,PH043569,16,10,3,4,13,2,66.66666666666666,30.0,0.0,
DSR-ROM-412,TG011586,1,1,1,1,4,0,0.0,100.0,1.0,
DSR-MUM-134,PH027072,15,9,1,4,9,1,100.0,11.11111111111111,0.0,
DSR-CMN-KER-621,MGS08220,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-APUC-009,TG002011,2,2,1,3,5,1,100.0,50.0,1.0,
DSR-MP-288,PH042225,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-KNUC-276,PH027699,9,4,4,5,7,4,100.0,100.0,1.0,
DSR-ROM-412,TG017200,1,1,1,1,4,0,0.0,100.0,1.0,
DSR-CMN-KNUC-473,TG022423,3,2,1,3,8,1,100.0,50.0,1.0,
DSR-KER-068,PH015324,3,3,1,3,5,0,0.0,33.33333333333333,0.0,
DSR-SPT-PUNE-506,PS011925,26,10,1,4,21,1,100.0,10.0,0.0,
DSR-ROM-409,TG020264,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-CHN-114,WP002370,19,4,1,5,11,1,100.0,25.0,0.0,
DSR-CMN-ROE-558,BR002067,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-NE-197,DS003504,9,5,1,4,32,1,100.0,20.0,1.0,
DSR-PUNE-148,PH025354,16,8,3,5,13,3,100.0,37.5,1.0,
DSR-KER-352,DS021989,3,1,0,3,5,0,0.0,0.0,1.0,
DSR-MUM-127,PH060426,9,8,4,5,5,4,100.0,50.0,1.0,
DSR-CMN-ROE-676,PH127241,1,1,1,1,2,1,100.0,100.0,1.0,
DSR-MUM-255,PH055980,13,4,3,4,9,2,66.66666666666666,75.0,1.0,
DSR-GOA-441,TG018898,4,4,3,4,6,3,100.0,75.0,1.0,
DSR-UK-363,PS000905,9,1,0,4,8,0,0.0,0.0,0.0,
DSR-APUC-353,PH088426,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-GT-MUM-702,PH100937,4,3,1,3,5,1,100.0,33.33333333333333,0.0,
DSR-GOA-153,TG019155,1,1,0,3,5,0,0.0,0.0,0.0,
DSR-HYD-002,PH000074,12,10,3,5,14,3,100.0,30.0,1.0,
DSR-PUNE-361,DS008026,1,1,1,4,6,1,100.0,100.0,1.0,
DSR-CMN-ROM-591,PH054091,7,7,4,4,7,4,100.0,57.14285714285714,1.0,
DSR-MUM-134,PH063709,8,7,0,2,13,0,0.0,0.0,0.0,
DSR-ROM-215,PH121156,2,2,1,3,5,1,100.0,50.0,0.0,
DSR-KER-337,PS008517,1,1,0,4,6,0,0.0,0.0,0.0,
DSR-MP-230,PH094808,3,3,2,4,6,2,100.0,66.66666666666666,1.0,
DSR-PUNE-137,DS009873,7,5,0,4,5,0,0.0,0.0,0.0,
DSR-ROM-350,PS009903,4,4,0,2,8,0,0.0,0.0,1.0,
DSR-CMN-ROE-558,PH061453,2,2,0,3,5,0,0.0,0.0,0.0,
DSR-GT-PUNJ-726,PH060843,11,7,3,4,8,3,100.0,42.857142857142854,1.0,
DSR-KNUC-304,PH009721,2,2,2,1,5,1,50.0,100.0,1.0,
DSR-MUM-129,PH065393,5,4,2,2,5,1,50.0,50.0,0.0,
DSR-CMN-TNUC-815,DS022350,11,8,1,4,12,1,100.0,12.5,0.0,
DSR-KER-343,PH042654,3,2,0,2,5,0,0.0,0.0,0.0,
DSR-CMN-ROE-498,PH124959,1,1,0,2,4,0,0.0,0.0,1.0,
DSR-KNUC-430,PH108443,1,1,1,1,10,1,100.0,100.0,1.0,
DSR-ROM-329,PH105931,6,4,0,3,5,0,0.0,0.0,0.0,
DSR-MPC-268,PH110262,3,3,3,4,5,3,100.0,100.0,1.0,
DSR-GOA-153,PH044239,7,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-SPT-TN-510,PS019811,10,5,3,5,15,3,100.0,60.0,1.0,
DSR-GT-PUNJ-726,PH005818,6,2,0,4,5,0,0.0,0.0,0.0,
DSR-GT-NCR-504,MGS005938,2,2,1,2,5,1,100.0,50.0,1.0,
DSR-GT-MUM-759,TG023757,3,2,1,1,10,0,0.0,50.0,0.0,
DSR-CMN-ROE-558,BR001826,1,1,0,1,6,0,0.0,0.0,0.0,
DSR-PUNJ-404,BR000388,4,3,1,2,5,1,100.0,33.33333333333333,0.0,
DSR-CMN-MPC-784,TG024033,3,1,1,1,1,1,100.0,100.0,1.0,
DSR-NCR-039,PH037129,3,3,1,2,5,1,100.0,33.33333333333333,1.0,
DSR-MP-230,PH094750,4,3,2,4,5,2,100.0,66.66666666666666,0.0,
DSR-KER-068,MGS00275,5,5,2,5,9,2,100.0,40.0,0.0,
DSR-APUC-273,PH027476,7,6,2,4,5,2,100.0,33.33333333333333,0.0,
DSR-CMN-HAR-780,PH121684,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-788,PH096574,4,3,1,0,10,0,0.0,33.33333333333333,1.0,
DSR-GT-PUNE-360,PH055862,2,1,0,4,5,0,0.0,0.0,0.0,
DSR-GT-PUNE-706,PH057477,9,4,1,5,12,1,100.0,25.0,0.0,
DSR-W/UP-176,PH019265,2,2,2,2,5,1,50.0,100.0,1.0,
DSR-CMN-KER-620,PS012898,6,2,2,5,5,2,100.0,100.0,1.0,
DSR-CHN-109,DS007635,15,5,1,5,11,1,100.0,20.0,0.0,
DSR-CMN-UK-697,PH066435,3,2,0,2,2,0,0.0,0.0,1.0,
DSR-HAR-447,PH056890,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-CMN-KNUC-644,WP002790,2,1,0,0,4,0,0.0,0.0,1.0,
DSR-NCR-036,PH127119,1,1,0,0,5,0,0.0,0.0,1.0,
DSR-GT-NCR-457,PH081899,2,1,0,3,5,0,0.0,0.0,1.0,
DSR-NCR-039,TG007336,3,2,1,4,5,1,100.0,50.0,1.0,
DSR-CMN-MPC-784,TG020517,1,1,1,1,3,1,100.0,100.0,1.0,
DSR-UK-228,DS007329,8,4,1,5,15,1,100.0,25.0,1.0,
DSR-ROM-423,PS018705,3,1,0,4,8,0,0.0,0.0,0.0,
DSR-GT-KER-855,DS023128,4,4,3,2,2,2,66.66666666666666,75.0,1.0,
DSR-GOA-153,DS014642,2,2,1,3,5,1,100.0,50.0,0.0,
DSR-GT-BGLR-565,PH121668,7,5,0,4,10,0,0.0,0.0,0.0,
DSR-MPC-371,PH089465,1,1,1,2,4,1,100.0,100.0,1.0,
DSR-HAR-166,PH009168,6,5,4,4,8,4,100.0,80.0,1.0,
DSR-MPC-268,PH110264,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-MUM-132,PH001903,8,4,0,1,6,0,0.0,0.0,0.0,
DSR-GT-MUM-759,PH102786,4,2,1,1,10,0,0.0,50.0,1.0,
DSR-ROM-396,PS001119,7,1,1,5,5,1,100.0,100.0,1.0,
DSR-GT-HYD-651,WP002499,5,5,0,4,5,0,0.0,0.0,0.0,
DSR-GT-NCR-629,PH054818,5,2,2,5,5,2,100.0,100.0,1.0,
DSR-GT-NCR-508,DS001158,2,2,1,4,12,1,100.0,50.0,1.0,
DSR-MP-230,PH112333,5,4,2,3,6,2,100.0,50.0,1.0,
DSR-CMN-ROM-773,PH090151,3,1,1,4,5,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-490,PH054423,4,4,4,4,5,4,100.0,100.0,1.0,
DSR-ROM-412,PH062457,1,1,0,2,4,0,0.0,0.0,0.0,
DSR-GT-NCR-760,PH088534,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-SPT-PUNE-542,PS018514,5,2,0,0,9,0,0.0,0.0,1.0,
DSR-KER-293,MGS01730,7,4,3,5,9,3,100.0,75.0,1.0,
DSR-PUNE-361,MGS006741,1,1,1,4,6,1,100.0,100.0,1.0,
DSR-HAR-028,PH106779,3,2,1,4,6,1,100.0,50.0,0.0,
DSR-GT-KER-855,DS008906,21,14,1,5,28,1,100.0,7.142857142857142,0.0,
DSR-EUP-394,TG004132,5,4,3,4,5,3,100.0,75.0,0.0,
DSR-BGLR-398,PH028130,13,8,1,5,21,1,100.0,12.5,0.0,
DSR-KER-076,TG004722,2,2,0,4,5,0,0.0,0.0,0.0,
DSR-CMN-KER-863,MGS08198,4,3,2,3,5,2,100.0,66.66666666666666,1.0,
DSR-CHN-442,DS014983,6,4,2,5,9,2,100.0,50.0,1.0,
DSR-MUM-133,PH002527,7,3,0,4,9,0,0.0,0.0,0.0,
DSR-TNUC-312,DS007544,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-PUNJ-202,PH045033,1,1,0,4,5,0,0.0,0.0,1.0,
DSR-NCR-032,PH116209,3,3,3,3,4,2,66.66666666666666,100.0,1.0,
DSR-BGLR-095,DS009781,7,4,1,5,14,1,100.0,25.0,0.0,
DSR-PUNJ-202,PH005770,3,1,0,2,6,0,0.0,0.0,0.0,
DSR-HAR-447,PH056888,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-ROE-446,PH111219,2,1,0,1,3,0,0.0,0.0,0.0,
DSR-APUC-009,PH081896,3,2,1,5,5,1,100.0,50.0,1.0,
DSR-GT-MUM-702,PH121237,6,3,1,3,5,1,100.0,33.33333333333333,0.0,
DSR-GUJ-150,PH114697,4,4,1,1,4,1,100.0,25.0,1.0,
DSR-CMN-KER-843,DS011483,2,2,0,2,5,0,0.0,0.0,0.0,
DSR-ROM-216,PH101574,6,5,2,2,5,2,100.0,40.0,1.0,
DSR-CMN-PUNJ-788,BR001722,4,3,1,0,24,0,0.0,33.33333333333333,1.0,
DSR-SPT-MUM-539,PS000225,16,12,0,0,16,0,0.0,0.0,1.0,
DSR-GT-CHN-488,DS000554,9,4,0,5,14,0,0.0,0.0,0.0,
DSR-CMN-UK-697,PH066410,3,1,1,0,1,0,0.0,100.0,1.0,
DSR-NCR-032,PH041132,4,4,2,4,5,1,50.0,50.0,1.0,
DSR-MUM-255,PH049014,9,3,1,4,6,0,0.0,33.33333333333333,0.0,
DSR-CMN-ROE-498,PH124957,2,1,0,2,5,0,0.0,0.0,1.0,
DSR-NCR-039,DS013699,3,1,1,3,8,1,100.0,100.0,1.0,
DSR-ROM-412,TG018588,1,1,0,0,3,0,0.0,0.0,1.0,
DSR-PUNE-141,PH033678,32,13,2,4,15,2,100.0,15.384615384615385,0.0,
DSR-MP-320,PH004103,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-PUNJ-202,PH005768,4,4,1,5,6,1,100.0,25.0,0.0,
DSR-GT-NCR-503,PH045140,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-KER-855,PS018444,9,3,0,4,6,0,0.0,0.0,0.0,
DSR-CMN-KER-863,PH113829,2,2,1,2,5,1,100.0,50.0,1.0,
DSR-PUNJ-202,PH049466,5,5,3,5,5,3,100.0,60.0,1.0,
DSR-CHN-442,MGS006637,6,4,1,5,10,1,100.0,25.0,1.0,
DSR-MUM-127,PH002886,18,7,1,2,17,1,100.0,14.285714285714285,1.0,
DSR-NE-275,CL004713,2,2,1,3,5,1,100.0,50.0,0.0,
FSA-SPT-NCR-015,PS000596,13,3,0,3,6,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-788,PS002031,7,6,2,4,5,1,50.0,33.33333333333333,0.0,
FSA-SPT-NCR-019,PS000601,4,2,0,4,6,0,0.0,0.0,0.0,
DSR-CMN-ROM-773,PH052794,3,2,1,3,5,1,100.0,50.0,0.0,
FSA-SPT-HYD-107,PS011390,30,14,4,4,21,4,100.0,28.57142857142857,1.0,
DSR-CMN-KNUC-642,PH078387,3,3,3,4,5,3,100.0,100.0,1.0,
DSR-CMN-MP-631,PS018810,1,1,0,5,5,0,0.0,0.0,1.0,
DSR-KOL-335,PS004168,1,1,1,4,7,1,100.0,100.0,1.0,
DSR-CHN-114,PH094107,13,7,1,4,5,1,100.0,14.285714285714285,0.0,
DSR-MUM-129,PH001809,7,4,2,4,5,2,100.0,50.0,1.0,
DSR-MUM-255,PH053702,11,7,2,1,7,1,50.0,28.57142857142857,1.0,
DSR-SPT-NCR-705,CL001507,2,1,0,0,8,0,0.0,0.0,1.0,
DSR-APUC-010,PS018409,1,1,1,3,5,1,100.0,100.0,1.0,
DSR-MUM-132,PH028052,13,8,3,3,16,2,66.66666666666666,37.5,1.0,
DSR-SPT-NCR-413,PS009398,12,4,0,4,5,0,0.0,0.0,0.0,
DSR-GT-MUM-759,PH108173,2,1,0,1,10,0,0.0,0.0,1.0,
DSR-HAR-028,PH053587,6,5,3,3,7,3,100.0,60.0,1.0,
DSR-CMN-EUP-668,PH066844,1,1,1,1,5,1,100.0,100.0,1.0,
DSR-CMN-KER-770,PH107186,1,1,0,3,5,0,0.0,0.0,1.0,
DSR-GT-MUM-656,PH042283,5,5,3,3,8,2,66.66666666666666,60.0,1.0,
DSR-CMN-PUNJ-822,PH005592,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-TNUC-310,PH007991,2,1,0,3,8,0,0.0,0.0,0.0,
DSR-CMN-PUNJ-490,PH100658,4,1,1,1,2,1,100.0,100.0,1.0,
DSR-GT-AP-479,PH096353,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-MPC-269,PH131100,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-KNUC-088,PH041672,2,1,1,5,5,1,100.0,100.0,1.0,
DSR-CMN-PUNJ-519,PH051474,3,3,3,4,5,3,100.0,100.0,1.0,
DSR-PUNE-140,PH088526,8,4,1,4,8,1,100.0,25.0,1.0,
DSR-GT-TNUC-677,PH008079,3,3,3,4,5,3,100.0,100.0,1.0,
DSR-SPT-EUP-600,CL003355,20,9,0,5,11,0,0.0,0.0,0.0,
DSR-CMN-KNUC-473,PH115110,3,2,2,4,7,2,100.0,100.0,1.0,
DSR-CMN-ROE-558,PS015074,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-PUNE-149,PH094767,4,3,2,5,5,2,100.0,66.66666666666666,1.0,
DSR-MUM-130,PH103575,4,4,3,5,5,3,100.0,75.0,1.0,
DSR-KER-068,PH059166,5,4,2,4,5,2,100.0,50.0,0.0,
DSR-MUM-127,PH059253,8,3,0,5,11,0,0.0,0.0,0.0,
DSR-HAR-028,PH092418,9,7,3,3,6,3,100.0,42.857142857142854,1.0,
DSR-ROM-423,PS022055,3,2,1,4,5,1,100.0,50.0,0.0,
FSA-GT-HYD-009,WP001120,13,7,1,2,13,1,100.0,14.285714285714285,1.0,
DSR-GT-WUP-667,PH095465,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-APUC-353,PH083535,2,1,1,2,4,1,100.0,100.0,1.0,
DSR-PUNE-137,MGS01288,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-GOA-441,PH051495,1,1,0,2,5,0,0.0,0.0,0.0,
DSR-CMN-RAJ-713,TG015337,6,2,1,3,5,0,0.0,50.0,0.0,
DSR-GT-ROE-527,DS008592,1,1,0,5,5,0,0.0,0.0,1.0,
DSR-CMN-ROM-773,DS014089,9,6,2,3,6,2,100.0,33.33333333333333,1.0,
DSR-GT-MUM-525,PH001814,19,16,4,4,25,3,75.0,25.0,1.0,
DSR-GT-EUP-743,PH118041,1,1,1,2,5,1,100.0,100.0,1.0,
DSR-CMN-KER-588,DS022262,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-UK-228,TG001822,3,3,0,2,5,0,0.0,0.0,0.0,
DSR-MPC-407,PH030439,3,3,3,5,5,3,100.0,100.0,1.0,
DSR-ROM-207,PH120056,2,2,0,0,2,0,0.0,0.0,1.0,
DSR-CMN-GUJ-491,PH042782,2,2,0,4,5,0,0.0,0.0,1.0,
DSR-MPC-371,PS022766,1,1,1,1,5,1,100.0,100.0,1.0,
DSR-GT-NCR-503,PH045141,3,3,1,4,5,1,100.0,33.33333333333333,0.0,
DSR-KER-080,MGS007185,3,2,2,5,5,2,100.0,100.0,1.0,
DSR-NCR-160,MGH00184,7,2,0,2,7,0,0.0,0.0,0.0,
DSR-CMN-MPC-467,MGS01354,4,4,0,1,5,0,0.0,0.0,0.0,
DSR-E/UP-244,PS010572,5,5,4,4,5,4,100.0,80.0,1.0,
DSR-WUP-393,PH035025,1,1,0,0,5,0,0.0,0.0,1.0,
FSA-SPT-CHN-047,PS013673,45,20,2,4,36,2,100.0,10.0,0.0,
DSR-HAR-220,PH066027,1,1,1,2,6,1,100.0,100.0,1.0,
DSR-GT-BGLR-565,PH113783,9,6,3,4,5,3,100.0,50.0,1.0,
DSR-CMN-ROM-777,PH012162,3,2,0,4,6,0,0.0,0.0,0.0,
DSR-MPC-407,PH055948,2,2,2,4,5,1,50.0,100.0,1.0,
DSR-GT-ROM-704,TG022288,4,2,2,2,5,2,100.0,100.0,1.0,
DSR-MUM-130,PH003203,11,7,2,4,9,1,50.0,28.57142857142857,0.0,
DSR-SPT-NCR-556,PS009523,4,1,0,4,5,0,0.0,0.0,1.0,
DSR-GT-ROM-690,PH126810,2,1,0,1,3,0,0.0,0.0,0.0,
DSR-GUJ-122,PH048260,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-GT-NCR-652,PH005323,5,3,0,3,5,0,0.0,0.0,0.0,
DSR-KER-391,DS012012,5,3,0,4,8,0,0.0,0.0,0.0,
DSR-PUNJ-404,PH042038,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-GOA-153,PH036600,2,2,0,4,5,0,0.0,0.0,1.0,
DSR-MUM-134,PH097472,1,1,0,0,5,0,0.0,0.0,1.0,
DSR-GT-MUM-765,PH087118,1,1,1,4,5,1,100.0,100.0,1.0,
FSA-CMN-GUJ-074,CL000406,7,1,0,5,5,0,0.0,0.0,1.0,
DSR-GT-MUM-683,PH128945,5,3,0,1,5,0,0.0,0.0,0.0,
DSR-ROE-446,PH118109,1,1,0,1,5,0,0.0,0.0,0.0,
DSR-GT-NCR-503,PH043872,2,2,0,2,5,0,0.0,0.0,0.0,
DSR-GUJ-387,PH055841,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-GT-AP-479,TG012331,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-ROM-497,PH106389,2,2,1,4,5,1,100.0,50.0,0.0,
DSR-BGLR-084,PH007660,1,1,1,4,6,1,100.0,100.0,1.0,
DSR-KER-459,PH041064,7,2,1,0,10,0,0.0,50.0,1.0,
DSR-GT-PUNE-360,PH075775,4,3,3,3,5,3,100.0,100.0,1.0,
DSR-ROM-329,PH012586,3,2,0,4,12,0,0.0,0.0,0.0,
FSA-CMN-BGLR-109,PS008631,24,13,3,4,23,3,100.0,23.076923076923077,1.0,
DSR-MUM-132,PH018929,6,5,2,3,5,1,50.0,40.0,0.0,
DSR-CMN-KER-770,DS018714,4,2,0,5,6,0,0.0,0.0,1.0,
DSR-GT-MUM-793,PH084259,12,11,3,3,11,2,66.66666666666666,27.27272727272727,0.0,
DSR-MUM-134,PH105990,7,6,2,3,9,2,100.0,33.33333333333333,1.0,
DSR-GT-PUNJ-514,DS015682,9,7,3,4,6,3,100.0,42.857142857142854,0.0,
DSR-SPT-MUM-658,BR001323,19,8,2,4,11,2,100.0,25.0,1.0,
DSR-CHN-109,PH015149,4,2,1,3,8,1,100.0,50.0,1.0,
DSR-GT-PUNE-779,PH055174,1,1,1,5,5,1,100.0,100.0,1.0,
DSR-CMN-AP-472,PH104809,1,1,1,1,4,1,100.0,100.0,1.0,
DSR-NCR-036,PH048952,2,1,1,3,5,1,100.0,100.0,1.0,
DSR-MUM-124,MGS004787,2,2,0,1,6,0,0.0,0.0,0.0,
DSR-GT-BGLR-565,PH040007,12,9,2,4,9,2,100.0,22.22222222222222,1.0,
DSR-GUJ-122,PH022546,2,2,2,5,5,2,100.0,100.0,1.0,
DSR-GT-NCR-517,PH051259,5,2,0,1,8,0,0.0,0.0,0.0,
DSR-GT-PUNE-706,PH003348,9,3,0,5,7,0,0.0,0.0,0.0,
DSR-GUJ-387,PH085781,7,6,4,5,7,4,100.0,66.66666666666666,0.0,
DSR-CMN-ROM-497,PH093858,1,1,1,2,3,1,100.0,100.0,1.0,
DSR-CMN-KER-770,PH101769,2,2,1,2,4,0,0.0,50.0,0.0,
DSR-GT-HYD-651,WP002931,7,5,0,1,13,0,0.0,0.0,0.0,
DSR-HAR-028,PH088931,7,6,3,3,5,3,100.0,50.0,1.0,
DSR-CMN-ROE-686,MGS007318,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-MUM-129,PH057209,4,3,2,4,5,1,50.0,66.66666666666666,0.0,
DSR-CMN-MPC-784,PH110848,3,3,1,1,3,1,100.0,33.33333333333333,1.0,
DSR-APUC-218,PH035932,2,2,2,3,5,2,100.0,100.0,1.0,
DSR-GT-WUP-661,TG005614,2,2,1,2,4,1,100.0,50.0,1.0,
DSR-PUNJ-389,PH050661,1,1,0,1,10,0,0.0,0.0,0.0,
DSR-MPC-376,PH104178,2,1,1,1,4,1,100.0,100.0,1.0,
DSR-APUC-353,TG018421,2,2,2,4,5,2,100.0,100.0,1.0,
DSR-CMN-PUNJ-490,PH054731,5,5,2,3,5,2,100.0,40.0,1.0,
DSR-CMN-KER-863,PS022193,6,3,2,4,5,1,50.0,66.66666666666666,0.0,
DSR-SPT-NCR-401,CL001507,7,3,0,3,9,0,0.0,0.0,0.0,
DSR-CMN-TNUC-815,PH112902,3,2,1,1,4,1,100.0,50.0,1.0,
DSR-BGLR-084,PH007658,10,7,2,4,12,2,100.0,28.57142857142857,1.0,
FSA-SPT-HYD-001,PS014049,1,1,0,4,13,0,0.0,0.0,0.0,
DSR-GT-MUM-526,PM000443,11,10,3,4,21,2,66.66666666666666,30.0,1.0,
DSR-BGLR-083,PH083762,1,1,1,1,1,1,100.0,100.0,1.0,
DSR-PUNE-137,PH103307,4,4,4,5,5,4,100.0,100.0,1.0,
DSR-ROE-239,PS002987,2,2,2,5,9,2,100.0,100.0,1.0,
DSR-KNUC-254,PH049376,1,1,1,4,5,1,100.0,100.0,1.0,
DSR-GT-ROM-690,PH008445,1,1,1,1,1,0,0.0,100.0,1.0,
DSR-KOL-020,CL001685,20,2,0,5,6,0,0.0,0.0,1.0,
DSR-CMN-KER-770,PH018766,8,5,2,5,9,2,100.0,40.0,0.0,
DSR-ROM-142,PS022676,18,7,1,4,12,1,100.0,14.285714285714285,0.0,
DSR-ROM-207,PH049314,4,4,1,5,8,1,100.0,25.0,1.0,
DSR-NE-275,PH094604,2,1,1,2,5,1,100.0,100.0,1.0,
DSR-KER-067,PS022841,13,5,1,3,22,1,100.0,20.0,1.0,
DSR-KER-391,PH107187,2,2,0,3,5,0,0.0,0.0,0.0,
DSR-ROM-216,PH029269,6,6,3,3,5,3,100.0,50.0,1.0,
DSR-MUM-132,PH125628,5,4,1,4,14,1,100.0,25.0,1.0,
DSR-MUM-134,PH106002,19,12,2,5,12,2,100.0,16.666666666666664,0.0,
